Station,Type,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bot. Depth [m],Date_Time_[UTC],Depth_[m],Pressure_[dbar],Temperature_[C],Conductivity_[S/m],Salinity_[psu],instrument
GAK1,Mooring,-149.4667,59.845,263,2014-03-05T01:00:01,17.0,17.16,3.93,2.9057,30.923,SBE37-1067
GAK1,Mooring,-149.4667,59.845,263,2014-03-05T01:15:01,16.79,16.95,3.933,2.9054,30.917,SBE37-1067
GAK1,Mooring,-149.4667,59.845,263,2014-03-05T01:30:01,16.63,16.79,3.936,2.9065,30.927,SBE37-1067
GAK1,Mooring,-149.4667,59.845,263,2014-03-05T01:45:01,16.28,16.44,3.925,2.9053,30.923,SBE37-1067
GAK1,Mooring,-149.4667,59.845,263,2014-03-05T02:00:01,16.28,16.44,3.926,2.9056,30.926,SBE37-1067
GAK1,Mooring,-149.4667,59.845,263,2014-03-05T02:15:01,15.98,16.13,3.931,2.9063,30.93,SBE37-1067
GAK1,Mooring,-149.4667,59.845,263,2014-03-05T02:30:01,15.66,15.81,3.932,2.9071,30.939,SBE37-1067
GAK1,Mooring,-149.4667,59.845,263,2014-03-05T02:45:01,15.69,15.84,3.936,2.9066,30.929,SBE37-1067
GAK1,Mooring,-149.4667,59.845,263,2014-03-05T03:00:01,15.44,15.59,3.926,2.9058,30.929,SBE37-1067
GAK1,Mooring,-149.4667,59.845,263,2014-03-05T03:15:01,15.15,15.29,3.929,2.9049,30.915,SBE37-1067
GAK1,Mooring,-149.4667,59.845,263,2014-03-05T03:30:01,14.59,14.73,3.937,2.9073,30.937,SBE37-1067
GAK1,Mooring,-149.4667,59.845,263,2014-03-05T03:45:01,14.79,14.93,3.944,2.9076,30.934,SBE37-1067
GAK1,Mooring,-149.4667,59.845,263,2014-03-05T04:00:01,14.41,14.55,3.932,2.904,30.902,SBE37-1067
GAK1,Mooring,-149.4667,59.845,263,2014-03-05T04:15:01,14.38,14.52,3.949,2.9086,30.941,SBE37-1067
GAK1,Mooring,-149.4667,59.845,263,2014-03-05T04:30:01,14.19,14.33,3.965,2.9114,30.958,SBE37-1067
GAK1,Mooring,-149.4667,59.845,263,2014-03-05T04:45:01,13.67,13.8,3.924,2.901,30.875,SBE37-1067
GAK1,Mooring,-149.4667,59.845,263,2014-03-05T05:00:01,13.88,14.01,3.942,2.9064,30.922,SBE37-1067
GAK1,Mooring,-149.4667,59.845,263,2014-03-05T05:15:01,13.47,13.6,3.964,2.9116,30.962,SBE37-1067
GAK1,Mooring,-149.4667,59.845,263,2014-03-05T05:30:01,13.61,13.74,3.961,2.9115,30.963,SBE37-1067
GAK1,Mooring,-149.4667,59.845,263,2014-03-05T05:45:01,13.51,13.64,3.96,2.9115,30.965,SBE37-1067
GAK1,Mooring,-149.4667,59.845,263,2014-03-05T06:00:01,13.57,13.7,3.959,2.9117,30.968,SBE37-1067
GAK1,Mooring,-149.4667,59.845,263,2014-03-05T06:15:01,13.35,13.48,3.966,2.9119,30.963,SBE37-1067
GAK1,Mooring,-149.4667,59.845,263,2014-03-05T06:30:01,13.28,13.41,3.967,2.9113,30.956,SBE37-1067
GAK1,Mooring,-149.4667,59.845,263,2014-03-05T06:45:01,13.53,13.66,3.966,2.9117,30.962,SBE37-1067
GAK1,Mooring,-149.4667,59.845,263,2014-03-05T07:00:01,13.6,13.73,3.966,2.9117,30.962,SBE37-1067
GAK1,Mooring,-149.4667,59.845,263,2014-03-05T07:15:01,13.36,13.49,3.962,2.9119,30.968,SBE37-1067
GAK1,Mooring,-149.4667,59.845,263,2014-03-05T07:30:01,13.74,13.87,3.966,2.911,30.953,SBE37-1067
GAK1,Mooring,-149.4667,59.845,263,2014-03-05T07:45:01,14.07,14.2,3.966,2.9102,30.945,SBE37-1067
GAK1,Mooring,-149.4667,59.845,263,2014-03-05T08:00:01,14.1,14.23,3.959,2.9119,30.97,SBE37-1067
GAK1,Mooring,-149.4667,59.845,263,2014-03-05T08:15:01,14.15,14.28,3.958,2.912,30.972,SBE37-1067
GAK1,Mooring,-149.4667,59.845,263,2014-03-05T08:30:01,14.21,14.35,3.958,2.9121,30.973,SBE37-1067
GAK1,Mooring,-149.4667,59.845,263,2014-03-05T08:45:01,14.48,14.62,3.961,2.9131,30.981,SBE37-1067
GAK1,Mooring,-149.4667,59.845,263,2014-03-05T09:00:01,14.7,14.84,3.964,2.9134,30.983,SBE37-1067
GAK1,Mooring,-149.4667,59.845,263,2014-03-05T09:15:01,15.14,15.28,3.964,2.9134,30.983,SBE37-1067
GAK1,Mooring,-149.4667,59.845,263,2014-03-05T09:30:01,15.13,15.27,3.967,2.9138,30.985,SBE37-1067
GAK1,Mooring,-149.4667,59.845,263,2014-03-05T09:45:01,15.24,15.39,3.972,2.9147,30.99,SBE37-1067
GAK1,Mooring,-149.4667,59.845,263,2014-03-05T10:00:01,15.73,15.88,3.973,2.9148,30.99,SBE37-1067
