Site,CollectionDate,Month,Year,SampleID,Length,WetGonadicMass,WetSomaticMass,WetTotalMass,WGSI,DryGonadicMass,DrySomaticMass,DryShellMass,DryTotalMass,DGSI,PelletMass,CalGram,CalMus,UnburnedFuse,FuseEnergy,Notes
Coleman,2014-05-15,May,2014,M001,36,0.6207,0.7048,1.3255,46.8276,0.063,0.1026,2.7745,0.1656,38.0435,0.156,4485.37,742.78,.,.,
Coleman,2014-05-15,May,2014,M002,34,0.304,0.891,1.195,25.4393,0.0574,0.1799,1.7983,0.2373,24.1888,0.2246,4777.43,1133.68,.,.,
Coleman,2014-05-15,May,2014,M003,32,0.2654,0.538,0.8034,33.0346,0.042,0.0971,1.3169,0.1391,30.1941,0.1328,4713.97,655.71,.,.,
Coleman,2014-05-15,May,2014,M004,32,0.2717,0.4711,0.7428,36.5778,0.049,0.0896,1.5271,0.1386,35.3535,0.1299,4748.75,658.18,.,.,
Coleman,2014-05-15,May,2014,M005,34,0.3416,0.7455,1.0871,31.4231,0.0514,0.1245,1.7126,0.1759,29.2211,0.1748,4442.15,781.37,.,.,
Coleman,2014-04-24,April,2014,M006,37,0.4131,0.661,1.0741,38.4601,0.0555,0.1099,1.2008,0.1654,33.555,0.1582,4497.29,743.85,.,.,
Coleman,2014-04-24,April,2014,M007,36,0.5012,0.7022,1.2034,41.6487,0.0833,0.1398,2.1214,0.2231,37.3375,0.2141,4790.35,1068.73,.,.,
Coleman,2014-04-24,April,2014,M008,34,0.3636,0.8496,1.2132,29.9703,0.0654,0.1869,1.0469,0.2523,25.9215,0.2441,4768,1202.97,.,.,
Coleman,2014-04-24,April,2014,M009,37,0.4081,0.7304,1.1385,35.8454,0.0641,0.141,1.7115,0.2051,31.253,0.196,4624.52,948.49,.,.,
Coleman,2014-04-24,April,2014,M010,33,0.4624,0.5646,1.027,45.0243,0.0905,0.1232,1.9996,0.2137,42.3491,0.2057,4693.21,1002.94,.,.,
Coleman,2014-09-07,September,2014,M011,41,0.4934,0.8916,1.385,35.6245,0.0571,0.1444,2.8857,0.2015,28.3375,0.1999,4333.12,873.12,.,.,
Coleman,2014-09-07,September,2014,M012,34,.,.,0.6891,.,.,.,1.5278,.,.,0.1021,4580.86,.,.,.,
Coleman,2014-09-07,September,2014,M013,33,.,.,0.6031,.,.,.,1.7113,.,.,0.0714,4104.09,.,.,.,
Coleman,2014-09-07,September,2014,M014,34,.,.,0.8084,.,.,.,2.3807,.,.,0.0903,4147.45,.,.,.,
Coleman,2014-09-07,September,2014,M015,32,.,.,0.6474,.,.,.,1.7131,.,.,0.0961,4488.88,.,.,.,
Coleman,2014-07-16,July,2014,M016,37,.,.,1.2268,.,.,.,1.7696,.,.,0.195,4600.34,.,.,.,
Coleman,2014-07-16,July,2014,M017,37,.,.,1.0709,.,.,.,2.3928,.,.,0.1636,4538.08,.,.,.,
Coleman,2014-07-16,July,2014,M018,36,.,.,1.0265,.,.,.,1.5186,.,.,0.1922,4665.73,.,.,.,
Coleman,2014-07-16,July,2014,M019,34,.,.,0.9126,.,.,.,1.7089,.,.,0.1315,4448.97,.,.,.,
Coleman,2014-07-16,July,2014,M020,34,.,.,0.9365,.,.,.,1.6726,.,.,0.1649,4637.77,.,.,.,
Coleman,2014-09-07,September,2014,M021,37,.,.,0.9401,.,.,.,1.776,.,.,0.0962,4141.57,.,.,.,
Coleman,2014-09-07,September,2014,M022,35,.,.,0.8397,.,.,.,1.6397,.,.,0.1178,4411.59,.,.,.,
Coleman,2014-09-07,September,2014,M023,31,.,.,0.6188,.,.,.,1.2713,.,.,0.1025,4548.74,.,.,.,
Coleman,2014-09-07,September,2014,M024,33,.,.,0.9357,.,.,.,1.9766,.,.,0.1291,4391.64,.,.,.,
Coleman,2014-09-07,September,2014,M025,34,.,.,0.8278,.,.,.,1.4825,.,.,0.1108,4448.73,.,.,.,
Coleman,2014-07-16,July,2014,M026,35,.,.,0.8917,.,.,.,1.9931,.,.,0.1493,4468.35,.,.,.,
Coleman,2014-07-16,July,2014,M027,32,.,.,0.4215,.,.,.,1.3062,.,.,0.0518,4160.21,.,.,.,
Coleman,2014-07-16,July,2014,M028,29,.,.,0.4616,.,.,.,1.0187,.,.,0.0587,4391.02,.,.,.,
Coleman,2014-07-16,July,2014,M029,31,.,.,0.6699,.,.,.,1.1393,.,.,0.0677,4170.57,.,.,.,
Coleman,2014-07-16,July,2014,M030,35,.,.,0.7889,.,.,.,1.7159,.,.,0.1067,4328.13,.,.,.,
Coleman,2014-05-15,May,2014,M031,34,0.3457,1.1299,1.4756,23.4278,0.0682,0.2079,1.3947,0.2761,24.7012,0.2696,4596.79,1269.17,.,.,
